DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2008,20.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2009,22.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2010,22.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2011,22.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2012,24.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2013,26.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2014,41.1,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2015,41.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2016,43.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2017,44.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2018,44.9,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2019,45.9,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2020,45.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2021,46.8,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2022,47.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,2023,48.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,2021,32.9,,
